id
Mehmet Sayal
Mehrdad Naderi
Mehrdad Shahshahani
Mei-Ling Shyu
Meike Klettke
Meikel Pöss
Melanie Gnasa
Menzo Windhouwer
Michael Beetz
Michael Benedikt
Michael Chisholm
Michael Eriksen
Michael Gertz 0001
Michael Gillmann
Michael Goebel
Michael H. Böhlen
Michael Hahsler
Michael Herscovici
Michael I. Jordan
Michael J. Carey 0001
Michael J. Franklin
Michael J. Kearns
Michael J. Maher
Michael J. Pazzani
Michael Jones
Michael K. Buckland
Michael K. Ng
Michael Kifer
Michael L. Littman
Michael M. Wagner
Michael M. Yin
Michael May 0001
Michael McGeachie
Michael Mitzenmacher
Michael Molloy
Michael Montemerlo
Michael O. Akinde
Michael Ortega-Binderberger
Michael P. Wellman
Michael Pekala
Michael R. Berthold
Michael Rabinovich
Michael Sintek
Michael Stonebraker
Michael van Lent
Michail G. Lagoudakis
Michail Vlachos
Michalis Petropoulos
Michalis Vazirgiannis
Michel Scholl
Michelangelo Ceci
Michelangelo Diligenti
Michele Banko
Micheline Beaulieu
Michihiro Kuramochi
Michèle Sebag
Mihai Boicu
Mihai Datcu
Mihail F. Ionescu
Mikael Nilsson
Mike Barley
Mikhail J. Atallah
Miki Nakagawa
Milan Petkovic
Min Wang 0001
Ming Zhou
Mirco Nanni
Mitch Cherniack
Mohamed A. Sharaf
Mohamed G. Elfeky
Mohamed S. Kamel
Mohamed Zaït
Mohammed Abdel Razek
Mohammed Aljlayl
Mohammed Javeed Zaki
Monica M. C. Schraefel
Monika Sester
Monique V. Vieira
Moshe Shadmon
Moshe Tennenholtz
Moshe Y. Vardi
Mounia Lalmas
Moustafa A. Hammad
Moustafa Ghanem
Mukesh Mulchandani
Mukul Joshi
Mykola Galushka
Myra Spiliopoulou
Márcio de Carvalho
Nabil Layaïda
Nada Lavrac
Nadine Schulz
Naftali Tishby
Nahum Shimkin
Nancy J. McCracken
Nancy Salay
Naohiro Matsumura
Naoki Abe
Naomi Inoue
Natalia Orlov
Natalia Vanetik
Natalie S. Glance
Natalya Fridman Noy
Neal Glew
Neal Lesh
Neal Sample
Necati Ercan Ozgencil
Neel Sundaresan
Neeraj R. Joshi
Nello Cristianini
Niall M. Adams
Niall Rooney
Nicholas Everett
Nicholas J. Belkin
Nicholas Kushmerick
Nicholas Roy
Nick Cercone
Nick Koudas
Nick Roussopoulos
Nick Russell
Nico Lavarini
Nicolas Bruno
Nicolas Spyratos
Nicole Lam
Niels Nes
Niels Olof Bouvin
Nikos Karayannidis
Nikos Mamoulis
Nimrod Megiddo
Nina Mishra
Ning Jiang
Nir Friedman
Noam Nisan
Noam Slonim
Nobuyuki Shimizu
Norbert Fuhr
Norbert Gövert
Norbert Ritter
Noriko Kando
Nuria Oliver
Ofer Matan
Oliver Dunemann
Oliver Po
Oliver Spatscheck
Olivier Spanjaard
Olivier Y. de Vel
Omar Benjelloun
Ophir Frieder
Pablo A. Roberto
Pablo de la Fuente
Panagiotis G. Ipeirotis
Pankaj K. Agarwal
Pankaj Kankar
Panos K. Chrysanthis
Panos Kalnis
Paolo Garza
Paolo Merialdo
Paolo Palmerini
Paolo Tiberio
Paolo Traverso
Parry Husbands
Pascal Felber
Pascal Poupart
Pat Hanrahan
Pat Langley
Patrice Lefaucheur
Patrice Perny
Patricia J. Riddle
Patrick Beeson
Patrick Héas
Patrick Wendel
Paul E. Utgoff
Paul H. Leng
Paul Lu
Paul McNamee
Paul N. Bennett
Paul Ogilvie
Paul R. Cohen
Paula Montoto
Pavel Berkhin
Pedro M. Domingos
Penelope Markellou
Penina Hoz-Weiss
Per Lidén
Peter A. Boncz
Peter A. Flach
Peter A. Tucker
Peter Bates
Peter Bumbulis
Peter Buneman
Peter Christen
Peter Clark
Peter F. Patel-Schneider
Peter Fankhauser
Peter Ingwersen
Peter J. Haas
Peter J. Stuckey
Peter Jackson
Peter L. Bartlett
Peter M. Fischer 0001
Peter M. G. Apers
Peter M. Schwarz
Peter R. Wurman
Peter Rieger
Peter Scheuermann
Peter Stone
Peter T. Wood
Peter Widmayer
Peter Winklhofer
Peter Z. Kunszt
Peter Zabback
Peter van der Putten
Petre Tzvetkov
Philip A. Bernstein
Philip Bohannon
Philip Derbeko
Philip K. Chan
Philip S. Yu
Philippe Bonnet
Philippe Pucheral
Philippe Ézéquel
Phillip B. Gibbons
Pierangela Samarati
Pierluigi Miraglia
Pierre Dupont
Ping Chen
Piotr Indyk
Pradeep Shenoy
Pramod K. Singh
Prasad Tadepalli
Prashant Choudhari
Prashant J. Shenoy
Preben Hansen
Prem Melville
Punit R. Doshi
Qi Li 0001
Qi Su
Qi Zhang
Qi Zhang Liu
Qiang Ding
Qiang Yang 0001
Qin Ding 0001
Qing Li 0001
Qiong Luo 0001
Quan Wang
Quan Z. Sheng
Radek Vingralek
Radu Sion
Raffaele Perego 0001
Rahul Gupta
Rahul Kumar
Rahul Sukthankar
Raj Bhatnagar
Rajeev Motwani 0001
Rajeev Rastogi
Rakesh Agrawal 0001
Ralf Herbrich
Ralf Rantzau
Ralph Busse
Ralph M. Weischedel
Rama Akkiraju
Raman Chandrasekar
Ramesh C. Agarwal
Ramesh Nallapati
Ramesh Natarajan
Rami Smair
Ramon Lawrence
Ramón López de Mántaras
Ran El-Yaniv
Randal C. Nelson
Randal E. Bryant
Randall W. Hill Jr.
Randy Goebel
Randy Horman
Ray Budd
Ray R. Larson
Raymond J. Mooney
Raymond K. Wong 0001
Raymond Kosala
Raymond Lieu
Raymond T. Ng
Raymond To
Reba Schuller
Reinhard Pichler
Renato O. Stehling
Renu Tewari
Renée J. Miller
Ricardo A. Baeza-Yates
Ricardo Vilalta
Riccardo Martoglia
Riccardo Ortale
Ricco Rakotomalala
Richard Brookes
Richard G. Larson
Richard Goodwin
Richard Jiang
Richard Kirkby
Richard Maclin
Richard Mann
Richard Nock
Richard R. Muntz
Richard Relue
Richard Sidle
Richard T. Snodgrass
Rick Greer
Rickard Cöster
Rina Dechter
Rob Powers
Robert C. Kahlert
Robert E. Mercer
Robert E. Schapire
Robert Fenk
Robert Givan
Robert Hanek
Robert Krovetz
Robert L. Grossman
Robert Laurini
Robert Mateescu
Robert Neches
Robert P. Biuk-Aghai
Robert Rasch
Robert Stockton
Robert W. P. Luk
Robert Weibel
Roberta Cochrane
Roberto F. Santos Filho
Roberto J. Bayardo Jr.
Roberto Pirrone
Robin N. Shaw
Rodney W. Topor
Rodrigo C. Vieira
Roelof van Zwol
Roger S. Barga
Roger Weber
Roger Zimmermann
Rohan A. Baxter
Roland Jesse
Roland Pieringer
Roland Reagan
Ron Meir
Ronald Fagin
Ronald Parr
Ronald W. Ferguson
Ronen Feldman
Rong Chen
Rong Jin
Rong Zhou 0001
Ronny Lempel
Rosa Meo
Rosalba Giugno
Ross Purves
Roy Emek
Ruben H. Zamar
Rudolf Bayer
Rune M. Jensen
Russell Greiner
Ryan Hayward
Ryan Kling
Ryong Lee
Sabine M. McConnell
Sabrina De Capitani di Vimercati
Sadiye Guler
Sai Surya Kiran Evani
Said Elnaffar
Sait Pektas
Sally A. Goldman
Salvatore J. Stolfo
Salvatore Orlando 0001
Sam Chamberlain
Sam Lightstone
Sam Maes
Sam T. Roweis
Sam Yuan Sung
Samuel Kaski
Samuel Kounev
Samuel Madden
Sandeep Seri
Sang Ho Lee 0004
Sanjay Agrawal 0001
Sanjeev Khanna
Santiago Ontañón
Sarah Harwell
Sariel Har-Peled
Sarit Kraus
Sasha Blair-Goldensohn
Satinder P. Singh
Satoshi Morinaga
Sau Dan Lee
Se June Hong
Sean Davey
Sebastian Buck 0001
Sebastian Thrun
Selina Chu
Selma Ayse Özel
Sen Zhang
Seng Wai Loke
Serena Chan
Serge Abiteboul
Sergej Sizov
Sergey Melnik 0001
Sergio Flesca
Sergio Greco
Serkan Toprak
Shahram Ghandeharizadeh
Shai Ben-David
Shai Fine
Shai Shalev-Shwartz
